,original_title,runtime,genres,production_companies,release_date,release_year,budget_adj,revenue_adj,number_of_companies,budget_per_company,Company,revenue_per_company,Profit
5255,Chasing Amy,113.0,Comedy|Drama|Romance,Miramax Films|View Askew Productions,4/4/97,1997,339615,16330421,2,169807,"['Miramax Films', 'View Askew Productions']",8165210,15990806
5256,Dante's Peak,108.0,Action|Adventure|Thriller,Universal Pictures|Pacific Western,2/7/97,1997,157581397,241979494,2,78790698,"['Universal Pictures', 'Pacific Western']",120989747,84398097
5257,Speed 2: Cruise Control,121.0,Action|Adventure|Thriller,Twentieth Century Fox Film Corporation|Blue Tulip Productions,6/12/97,1997,217353651,223477680,2,108676825,"['Twentieth Century Fox Film Corporation', 'Blue Tulip Productions']",111738840,6124029
5258,L.A. Confidential,138.0,Crime|Drama|Mystery|Thriller,Regency Enterprises|Wolper Organization|Warner Bros.,9/19/97,1997,47546111,171460704,3,15848703,"['Regency Enterprises', 'Wolper Organization', 'Warner Bros.']",57153568,123914593
5259,Scream 2,120.0,Horror|Mystery,Miramax Films|Konrad Pictures|Maven Entertainment|Dimension Films,12/9/97,1997,32603047,234148705,4,8150761,"['Miramax Films', 'Konrad Pictures', 'Maven Entertainment', 'Dimension Films']",58537176,201545658
5260,Liar Liar,86.0,Comedy,Imagine Entertainment|Universal Pictures,3/21/97,1997,61130714,245881318,2,30565357,"['Imagine Entertainment', 'Universal Pictures']",122940659,184750604
5262,Contact,150.0,Drama|Science Fiction|Mystery,Warner Bros.|South Side Amusement Company,7/11/97,1997,122261428,232460177,2,61130714,"['Warner Bros.', 'South Side Amusement Company']",116230088,110198749
5263,Lolita,137.0,Drama|Romance,PathÃ©|Lolita Productions,9/27/97,1997,84224539,1440044,2,42112269,"['PathÃ©', 'Lolita Productions']",720022,-82784495
5264,The Rainmaker,135.0,Drama|Crime|Thriller,Paramount Pictures|Constellation Entertainment,11/18/97,1997,54338412,62376108,2,27169206,"['Paramount Pictures', 'Constellation Entertainment']",31188054,8037696
5266,The Jackal,124.0,Action|Thriller|Adventure|Crime,Universal Pictures|Toho-Towa|Mutual Film Company|Marubeni|Tele MÃ¼nchen Fernseh Produktionsgesellschaft (TMG),11/13/97,1997,81507619,216443863,5,16301523,"['Universal Pictures', 'Toho-Towa', 'Mutual Film Company', 'Marubeni', 'Tele MÃ¼nchen Fernseh Produktionsgesellschaft (TMG)']",43288772,134936244
5269,Flubber,93.0,Comedy|Family|Science Fiction,Walt Disney Pictures|Great Oaks Entertainment,11/26/97,1997,108676825,241774999,2,54338412,"['Walt Disney Pictures', 'Great Oaks Entertainment']",120887499,133098174
5270,The Saint,116.0,Thriller|Action|Romance|Science Fiction|Adventure,Paramount Pictures|Mace Neufeld Productions|Rysher Entertainment,4/3/97,1997,92375301,160384313,3,30791767,"['Paramount Pictures', 'Mace Neufeld Productions', 'Rysher Entertainment']",53461437,68009012
5271,Conspiracy Theory,135.0,Action|Drama|Mystery|Thriller,Silver Pictures|Warner Bros.|Donner/Shuler-Donner Productions,8/7/97,1997,101884524,186085744,3,33961508,"['Silver Pictures', 'Warner Bros.', 'Donner/Shuler-Donner Productions']",62028581,84201220
5272,Air Force One,124.0,Action|Thriller,Columbia Pictures Corporation|Beacon Communications|Radiant Productions,7/23/97,1997,115469127,428127476,3,38489709,"['Columbia Pictures Corporation', 'Beacon Communications', 'Radiant Productions']",142709158,312658349
5274,Wag the Dog,97.0,Comedy|Drama,New Line Cinema|Tribeca Productions|Baltimore Pictures,12/25/97,1997,20376904,87289923,3,6792301,"['New Line Cinema', 'Tribeca Productions', 'Baltimore Pictures']",29096641,66913019
5275,As Good as It Gets,139.0,Comedy|Romance,Gracie Films|TriStar Pictures,12/19/97,1997,67923016,426798361,2,33961508,"['Gracie Films', 'TriStar Pictures']",213399180,358875345
5276,Breakdown,95.0,Drama|Action|Thriller,Paramount Pictures|Dino De Laurentiis Company|Spelling Films,5/2/97,1997,48904571,68139206,3,16301523,"['Paramount Pictures', 'Dino De Laurentiis Company', 'Spelling Films']",22713068,19234635
5277,Seven Years in Tibet,136.0,History|Drama|Adventure|War,TriStar Pictures|Mandalay Entertainment|Applecross|Reperage & Vanguard Films,9/12/97,1997,95092222,178580044,4,23773055,"['TriStar Pictures', 'Mandalay Entertainment', 'Applecross', 'Reperage & Vanguard Films']",44645011,83487822
5278,My Best Friend's Wedding,105.0,Comedy|Romance,TriStar Pictures,6/19/97,1997,51621492,406571694,1,51621492,['TriStar Pictures'],406571694,354950202
5279,Boogie Nights,155.0,Drama,New Line Cinema|Ghoulardi Film Company|Lawrence Gordon Productions,9/11/97,1997,20376904,58551805,3,6792301,"['New Line Cinema', 'Ghoulardi Film Company', 'Lawrence Gordon Productions']",19517268,38174901
5280,Lost Highway,134.0,Drama|Thriller|Mystery,Ciby 2000|October Films|Asymmetrical Productions|Lost Highway Productions,1/15/97,1997,20376904,4992614,4,5094226,"['Ciby 2000', 'October Films', 'Asymmetrical Productions', 'Lost Highway Productions']",1248153,-15384290
5281,Mad City,114.0,Action|Drama|Thriller,Warner Bros.|Arnold Kopelson Productions,11/7/97,1997,67923016,14320240,2,33961508,"['Warner Bros.', 'Arnold Kopelson Productions']",7160120,-53602776
5285,Bean,85.0,Comedy,Tiger Aspect Productions|PolyGram Filmed Entertainment|Working Title Films,7/29/97,1997,24452285,341262444,3,8150761,"['Tiger Aspect Productions', 'PolyGram Filmed Entertainment', 'Working Title Films']",113754148,316810159
5286,The Devil's Own,107.0,Crime|Thriller|Drama,Columbia Pictures,3/12/97,1997,122261428,191281465,1,122261428,['Columbia Pictures'],191281465,69020037
5290,Kiss the Girls,115.0,Drama|Mystery|Thriller|Crime,Paramount Pictures|Rysher Entertainment,10/3/97,1997,36678428,82224713,2,18339214,"['Paramount Pictures', 'Rysher Entertainment']",41112356,45546285
5291,Absolute Power,121.0,Crime|Drama|Thriller,Columbia Pictures|Castle Rock Entertainment|Malpaso Productions,2/14/97,1997,67923016,68015812,3,22641005,"['Columbia Pictures', 'Castle Rock Entertainment', 'Malpaso Productions']",22671937,92796
5292,Vegas Vacation,93.0,Comedy,Jerry Weintraub Productions|Warner Bros.,2/13/97,1997,33961508,49448444,2,16980754,"['Jerry Weintraub Productions', 'Warner Bros.']",24724222,15486936
5293,U Turn,125.0,Thriller,Illusion Entertainment Group|Phoenix Pictures|Clyde Is Hungry Films|Canal+ Droits Audiovisuels,10/3/97,1997,25810746,9077364,4,6452686,"['Illusion Entertainment Group', 'Phoenix Pictures', 'Clyde Is Hungry Films', 'Canal+ Droits Audiovisuels']",2269341,-16733382
5295,Mimic,105.0,Fantasy|Horror|Thriller,Miramax Films|Dimension Films,8/22/97,1997,40753809,34614234,2,20376904,"['Miramax Films', 'Dimension Films']",17307117,-6139575
5296,One Eight Seven,119.0,Drama|Thriller,Icon Entertainment International,7/29/97,1997,27169206,7765067,1,27169206,['Icon Entertainment International'],7765067,-19404139
5298,Spawn,96.0,Action|Adventure|Fantasy|Horror|Science Fiction,New Line Cinema|Pull Down Your Pants Pictures|Todd McFarlane Entertainment,7/31/97,1997,54338412,119327211,3,18112804,"['New Line Cinema', 'Pull Down Your Pants Pictures', 'Todd McFarlane Entertainment']",39775737,64988799
5300,Cube,90.0,Thriller|Science Fiction|Mystery,TÃ©lÃ©film Canada|Feature Film Project|Cube Libre|Harold Greenberg Fund|Odeon Films,9/9/97,1997,339615,681699,5,67923,"['TÃ©lÃ©film Canada', 'Feature Film Project', 'Cube Libre', 'Harold Greenberg Fund', 'Odeon Films']",136339,342084
5301,Kundun,134.0,Drama,Touchstone Pictures,12/25/97,1997,38036888,7722560,1,38036888,['Touchstone Pictures'],7722560,-30314328
5302,The Postman,177.0,Drama|Adventure,Tig Productions|Warner Bros.,12/25/97,1997,108676825,23944539,2,54338412,"['Tig Productions', 'Warner Bros.']",11972269,-84732286
5303,G.I. Jane,125.0,Action|Drama,Caravan Pictures|Hollywood Pictures|First Independent Films|Largo Entertainment|Scott Free Productions,8/22/97,1997,67923016,65435887,5,13584603,"['Caravan Pictures', 'Hollywood Pictures', 'First Independent Films', 'Largo Entertainment', 'Scott Free Productions']",13087177,-2487129
5304,The Relic,110.0,Horror|Thriller|Mystery,Paramount Pictures|Universal Pictures|Toho-Towa|Mutual Film Company|Pacific Western,1/10/97,1997,81507619,46128704,5,16301523,"['Paramount Pictures', 'Universal Pictures', 'Toho-Towa', 'Mutual Film Company', 'Pacific Western']",9225740,-35378915
5315,Fire Down Below,105.0,Action|Adventure|Crime|Thriller,Warner Bros.,9/5/97,1997,81507619,21735365,1,81507619,['Warner Bros.'],21735365,-59772254
5317,MouseHunt,98.0,Comedy|Family,DreamWorks,12/19/97,1997,51621492,166299165,1,51621492,['DreamWorks'],166299165,114677673
5318,The Sweet Hereafter,112.0,Drama,Fine Line Features,5/14/97,1997,6792301,4433450,1,6792301,['Fine Line Features'],4433450,-2358851
5322,Cop Land,104.0,Action|Crime|Drama,Miramax Films|Across the River Productions|Woods Entertainment,8/15/97,1997,20376904,60943500,3,6792301,"['Miramax Films', 'Across the River Productions', 'Woods Entertainment']",20314500,40566596
5324,Selena,127.0,Documentary|Drama,Warner Bros. Pictures,3/21/97,1997,27169206,81507619,1,27169206,['Warner Bros. Pictures'],81507619,54338413
5325,Spice World - The Movie,93.0,Adventure|Fantasy|Drama|Comedy|Music,Columbia Pictures Corporation,12/19/97,1997,33961508,135846032,1,33961508,['Columbia Pictures Corporation'],135846032,101884524
5326,The Ice Storm,112.0,Drama,Fox Searchlight Pictures|Good Machine|Canal+ Droits Audiovisuels,9/27/97,1997,24452285,10919386,3,8150761,"['Fox Searchlight Pictures', 'Good Machine', 'Canal+ Droits Audiovisuels']",3639795,-13532899
5328,Air Bud,98.0,Comedy|Family|Drama,Walt Disney Pictures,8/1/97,1997,4075380,31440883,1,4075380,['Walt Disney Pictures'],31440883,27365503
5332,Cats Don't Dance,75.0,Animation|Comedy|Family|Music,Warner Bros. Animation|Warner Bros. Family Entertainment,3/26/97,1997,43470730,4845134,2,21735365,"['Warner Bros. Animation', 'Warner Bros. Family Entertainment']",2422567,-38625596
5334,Mortal Kombat: Annihilation,95.0,Action|Fantasy|Science Fiction,New Line Cinema|Threshold Entertainment,11/21/97,1997,40753809,69793427,2,20376904,"['New Line Cinema', 'Threshold Entertainment']",34896713,29039618
5336,Metro,117.0,Action|Adventure|Comedy|Crime|Thriller,Caravan Pictures|Touchstone Pictures,1/16/97,1997,74715317,43453835,2,37357658,"['Caravan Pictures', 'Touchstone Pictures']",21726917,-31261482
5340,Wishmaster,90.0,Horror,Image Organization|Pierre David,9/19/97,1997,6792301,21380493,2,3396150,"['Image Organization', 'Pierre David']",10690246,14588192
5341,For Richer or Poorer,115.0,Comedy,Universal Pictures|Yorktown Productions|The Bubble Factory|Sheinberg Productions,12/11/97,1997,47546111,42942594,4,11886527,"['Universal Pictures', 'Yorktown Productions', 'The Bubble Factory', 'Sheinberg Productions']",10735648,-4603517
5343,Turbo: A Power Rangers Movie,99.0,Action|Adventure|Family|Fantasy|Science Fiction,20th Century Fox|Saban Entertainment,3/27/97,1997,13584603,24424762,2,6792301,"['20th Century Fox', 'Saban Entertainment']",12212381,10840159
5348,The Man Who Knew Too Little,97.0,Comedy|Thriller|Crime|Action,Regency Enterprises|Taurus Films|Polar Productions|Warner Bros.,11/14/97,1997,27169206,18749136,4,6792301,"['Regency Enterprises', 'Taurus Films', 'Polar Productions', 'Warner Bros.']",4687284,-8420070
5349,Turbulence,100.0,Action|Thriller|Crime,Metro-Goldwyn-Mayer (MGM)|Rysher Entertainment,1/9/97,1997,74715317,15576225,2,37357658,"['Metro-Goldwyn-Mayer (MGM)', 'Rysher Entertainment']",7788112,-59139092
5354,Steel,97.0,Science Fiction|Action|Adventure,Warner Bros. Pictures|DC Comics|Quincy Jones-David Salzman Entertainment,8/15/97,1997,21735365,2290946,3,7245121,"['Warner Bros. Pictures', 'DC Comics', 'Quincy Jones-David Salzman Entertainment']",763648,-19444419
5358,Private Parts,109.0,Comedy|Drama,Paramount Pictures|Rysher Entertainment,3/7/97,1997,38036888,56010404,2,19018444,"['Paramount Pictures', 'Rysher Entertainment']",28005202,17973516
5362,Playing God,94.0,Drama|Action|Thriller|Crime,Touchstone Pictures,10/17/97,1997,16301523,5433841,1,16301523,['Touchstone Pictures'],5433841,-10867682
5364,Picture Perfect,105.0,Comedy|Romance,20th Century Fox,8/1/97,1997,25810746,60223283,1,25810746,['20th Century Fox'],60223283,34412537
5365,Anna Karenina,108.0,Drama|Romance,Icon Entertainment International|Warner Bros.|Studio Trite,4/4/97,1997,47546111,1075669,3,15848703,"['Icon Entertainment International', 'Warner Bros.', 'Studio Trite']",358556,-46470442
5372,Most Wanted,99.0,Action|Thriller,New Line Cinema|Ivory Way Productions,10/10/97,1997,33961508,16081749,2,16980754,"['New Line Cinema', 'Ivory Way Productions']",8040874,-17879759
5380,Midnight in the Garden of Good and Evil,155.0,Crime|Drama|Mystery|Thriller,Warner Bros.|Malpaso Company,11/21/97,1997,47546111,34104492,2,23773055,"['Warner Bros.', 'Malpaso Company']",17052246,-13441619
5386,An American Werewolf in Paris,105.0,Horror|Comedy,Hollywood Pictures|Cometstone Pictures,12/25/97,1997,29886127,36094919,2,14943063,"['Hollywood Pictures', 'Cometstone Pictures']",18047459,6208792
5387,Amistad,155.0,Drama|History|Mystery,DreamWorks,12/3/97,1997,48904571,100526063,1,48904571,['DreamWorks'],100526063,51621492
5389,Affliction,114.0,Drama,Lions Gate Films,8/28/97,1997,8150761,8599127,1,8150761,['Lions Gate Films'],8599127,448366
5390,Rosewood,140.0,Drama|History,New Deal Productions|Warner Bros.|Peters Entertainment,2/21/97,1997,40753809,17837058,3,13584603,"['New Deal Productions', 'Warner Bros.', 'Peters Entertainment']",5945686,-22916751
5391,The Lost World: Jurassic Park,129.0,Adventure|Action|Science Fiction,Universal Pictures|Amblin Entertainment,5/23/97,1997,99167603,311188651,2,49583801,"['Universal Pictures', 'Amblin Entertainment']",155594325,212021048
5392,Switchback,118.0,Action|Adventure|Mystery|Thriller,Paramount Pictures|Pacific Western|Rysher Entertainment,10/31/97,1997,50263031,8805804,3,16754343,"['Paramount Pictures', 'Pacific Western', 'Rysher Entertainment']",2935268,-41457227
5402,La vÃ©ritÃ© si je mens !,100.0,Comedy,France 2 CinÃ©ma|Orly Films|M6 Films|Les Productions Jacques Roitfeld|Canal+,4/1/97,1997,5433841,40014807,5,1086768,"['France 2 CinÃ©ma', 'Orly Films', 'M6 Films', 'Les Productions Jacques Roitfeld', 'Canal+']",8002961,34580966
5415,The Castle,85.0,Drama|Comedy,Working Dog|Village Roadshow Entertainment,4/10/97,1997,1068666,1170706,2,534333,"['Working Dog', 'Village Roadshow Entertainment']",585353,102040
5422,Frozen,102.0,Animation|Adventure|Family,Walt Disney Pictures|Walt Disney Animation Studios,11/27/13,2013,140405002,1192711491,2,70202501,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",596355745,1052306489
5423,Gravity,91.0,Science Fiction|Thriller|Drama,Warner Bros.|Heyday Films|Esperanto Filmoj,9/27/13,2013,98283502,670567465,3,32761167,"['Warner Bros.', 'Heyday Films', 'Esperanto Filmoj']",223522488,572283963
5424,Thor: The Dark World,112.0,Action|Adventure|Fantasy,Marvel Studios,10/29/13,2013,159125669,449076041,1,159125669,['Marvel Studios'],449076041,289950372
5425,Iron Man 3,130.0,Action|Adventure|Science Fiction,Marvel Studios,4/18/13,2013,187206670,1137692372,1,187206670,['Marvel Studios'],1137692372,950485702
5426,Now You See Me,115.0,Thriller|Crime,Summit Entertainment|K/O Paper Products|SOIXAN7E QUIN5E|See Me Louisiana,5/29/13,2013,70202501,110170090,4,17550625,"['Summit Entertainment', 'K/O Paper Products', 'SOIXAN7E QUIN5E', 'See Me Louisiana']",27542522,39967589
5427,The Hunger Games: Catching Fire,146.0,Science Fiction|Thriller|Action|Adventure,Lionsgate|Color Force,11/15/13,2013,121684335,793216614,2,60842167,"['Lionsgate', 'Color Force']",396608307,671532279
5428,The Wolf of Wall Street,180.0,Crime|Drama|Comedy,Paramount Pictures|Appian Way|EMJAG Productions|Red Granite Pictures|Sikelia Productions,12/25/13,2013,93603335,366925723,5,18720667,"['Paramount Pictures', 'Appian Way', 'EMJAG Productions', 'Red Granite Pictures', 'Sikelia Productions']",73385144,273322388
5429,Pacific Rim,131.0,Action|Science Fiction|Adventure,Legendary Pictures|Warner Bros.|Disney Double Dare You (DDY)|Indochina Productions,7/11/13,2013,168486003,381529914,4,42121500,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']",95382478,213043911
5430,Oblivion,126.0,Action|Science Fiction|Adventure|Mystery,Universal Pictures|Chernin Entertainment|Relativity Media|Monolith Pictures (III)|Radical Studios,4/10/13,2013,112324002,267863327,5,22464800,"['Universal Pictures', 'Chernin Entertainment', 'Relativity Media', 'Monolith Pictures (III)', 'Radical Studios']",53572665,155539325
5431,The Hobbit: The Desolation of Smaug,161.0,Adventure|Fantasy,WingNut Films|New Line Cinema|Metro-Goldwyn-Mayer (MGM),12/11/13,2013,234008338,897094365,3,78002779,"['WingNut Films', 'New Line Cinema', 'Metro-Goldwyn-Mayer (MGM)']",299031455,663086027
5432,Man of Steel,143.0,Action|Adventure|Fantasy|Science Fiction,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy|Cruel and Unusual Films,6/12/13,2013,210607504,620445512,5,42121500,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']",124089102,409838008
5433,Her,126.0,Romance|Science Fiction|Drama,Annapurna Pictures,12/18/13,2013,21528767,44322350,1,21528767,['Annapurna Pictures'],44322350,22793583
5434,Despicable Me 2,98.0,Animation|Comedy|Family,Universal Pictures|Illumination Entertainment,6/25/13,2013,71138534,908665501,2,35569267,"['Universal Pictures', 'Illumination Entertainment']",454332750,837526967
5435,Star Trek Into Darkness,132.0,Action|Adventure|Science Fiction,Paramount Pictures|Skydance Productions|Bad Robot|Kurtzman/Orci,5/5/13,2013,177846337,437469458,4,44461584,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",109367364,259623121
5436,12 Years a Slave,134.0,Drama|History,Plan B Entertainment|Regency Enterprises|River Road Entertainment|Film4|New Regency Pictures,10/18/13,2013,18720667,175038236,5,3744133,"['Plan B Entertainment', 'Regency Enterprises', 'River Road Entertainment', 'Film4', 'New Regency Pictures']",35007647,156317569
5437,Riddick,119.0,Science Fiction|Action|Thriller,One Race Productions|Radar Pictures|Riddick Canada Productions,9/2/13,2013,35569267,92046987,3,11856422,"['One Race Productions', 'Radar Pictures', 'Riddick Canada Productions']",30682329,56477720
5438,The Conjuring,112.0,Horror|Thriller,New Line Cinema|The Safran Company|Evergreen Media Group,7/18/13,2013,12168433,297658738,3,4056144,"['New Line Cinema', 'The Safran Company', 'Evergreen Media Group']",99219579,285490305
5439,The Great Gatsby,143.0,Drama|Romance,Village Roadshow Pictures|Bazmark Films|Warner Bros.|A&E Television Networks|Red Wagon Entertainment,5/10/13,2013,98283502,328585540,5,19656700,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment']",65717108,230302038
5441,Elysium,109.0,Science Fiction|Action|Drama|Thriller,TriStar Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|QED International|Alpha Core,8/7/13,2013,107643835,267837238,5,21528767,"['TriStar Pictures', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)', 'QED International', 'Alpha Core']",53567447,160193403
5442,A Good Day to Die Hard,98.0,Action|Thriller,Ingenious Media|Twentieth Century Fox Film Corporation|Dune Entertainment|Mid Atlantic Films|Big Screen Productions,2/6/13,2013,86115068,285166475,5,17223013,"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Mid Atlantic Films', 'Big Screen Productions']",57033295,199051407
5443,The Purge,86.0,Science Fiction|Horror|Thriller,Universal Pictures|Why Not Productions|Platinum Dunes|Blumhouse Productions|20th Century Fox Russia,5/31/13,2013,2808100,83614574,5,561620,"['Universal Pictures', 'Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions', '20th Century Fox Russia']",16722914,80806474
5444,Monsters University,104.0,Animation|Family,Walt Disney Pictures|Pixar Animation Studios,6/20/13,2013,187206670,695996591,2,93603335,"['Walt Disney Pictures', 'Pixar Animation Studios']",347998295,508789921
5445,World War Z,116.0,Action|Drama|Horror|Science Fiction|Thriller,Paramount Pictures|GK Films|Skydance Productions|Hemisphere Media Capital|Apparatus Productions,6/20/13,2013,187206670,497843379,5,37441334,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions']",99568675,310636709
5446,The Secret Life of Walter Mitty,114.0,Adventure|Comedy|Drama|Fantasy,New Line Cinema|Ingenious Media|Twentieth Century Fox Film Corporation|Samuel Goldwyn Films|Big Screen Productions,12/18/13,2013,84243001,176099064,5,16848600,"['New Line Cinema', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Samuel Goldwyn Films', 'Big Screen Productions']",35219812,91856063
5447,Ender's Game,114.0,Science Fiction|Action|Adventure,Summit Entertainment|Chartoff Productions|Odd Lot Entertainment|K/O Paper Products|Digital Domain,10/23/13,2013,102963668,117506997,5,20592733,"['Summit Entertainment', 'Chartoff Productions', 'Odd Lot Entertainment', 'K/O Paper Products', 'Digital Domain']",23501399,14543329
5448,We're the Millers,110.0,Comedy|Crime,New Line Cinema|BenderSpink|Heyday Films|Newman/Tooley Films|Vincent Newman Entertainment,8/7/13,2013,34633234,252723500,5,6926646,"['New Line Cinema', 'BenderSpink', 'Heyday Films', 'Newman/Tooley Films', 'Vincent Newman Entertainment']",50544700,218090266
5449,2 Guns,109.0,Action|Crime|Drama|Comedy|Thriller,Universal Studios|Marc Platt Productions|Emmett/Furla Films|Envision Entertainment Corporation,8/2/13,2013,57098034,123500625,4,14274508,"['Universal Studios', 'Marc Platt Productions', 'Emmett/Furla Films', 'Envision Entertainment Corporation']",30875156,66402591
5451,Rush,123.0,Drama|Action,Revolution Films|Working Title Films|Cross Creek Pictures|Exclusive Media Group|Double Negative,9/2/13,2013,35569267,84474786,5,7113853,"['Revolution Films', 'Working Title Films', 'Cross Creek Pictures', 'Exclusive Media Group', 'Double Negative']",16894957,48905519
5452,G.I. Joe: Retaliation,110.0,Adventure|Action|Science Fiction|Thriller,Paramount Pictures|Di Bonaventura Pictures|Hasbro|Skydance Productions|Metro-Goldwyn-Mayer (MGM),3/26/13,2013,121684335,348088599,5,24336867,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Hasbro', 'Skydance Productions', 'Metro-Goldwyn-Mayer (MGM)']",69617719,226404264
5453,Inside Llewyn Davis,105.0,Drama|Music,StudioCanal|CBS Films|Anton Capital Entertainment (ACE),10/6/13,2013,10296366,30828557,3,3432122,"['StudioCanal', 'CBS Films', 'Anton Capital Entertainment (ACE)']",10276185,20532191
5454,Olympus Has Fallen,120.0,Action|Thriller,Nu Image Films|Millennium Films,3/20/13,2013,65522334,150725369,2,32761167,"['Nu Image Films', 'Millennium Films']",75362684,85203035
5455,Percy Jackson: Sea of Monsters,106.0,Adventure|Family|Fantasy,1492 Pictures|Dune Entertainment|Fox 2000 Pictures|Sunswept Entertainment|Dune Entertainment III,8/7/13,2013,84243001,163411533,5,16848600,"['1492 Pictures', 'Dune Entertainment', 'Fox 2000 Pictures', 'Sunswept Entertainment', 'Dune Entertainment III']",32682306,79168532
5456,Prisoners,153.0,Drama|Thriller|Crime,Alcon Entertainment|Madhouse Entertainment|8:38 Productions,9/18/13,2013,43057534,114314652,3,14352511,"['Alcon Entertainment', 'Madhouse Entertainment', '8:38 Productions']",38104884,71257118
5458,American Hustle,138.0,Drama|Crime,Columbia Pictures|Atlas Entertainment|Annapurna Pictures,12/12/13,2013,37441334,235105188,3,12480444,"['Columbia Pictures', 'Atlas Entertainment', 'Annapurna Pictures']",78368396,197663854
5459,Warm Bodies,97.0,Horror|Comedy|Romance,Summit Entertainment,1/31/13,2013,32761167,109497801,1,32761167,['Summit Entertainment'],109497801,76736634
5461,Hansel & Gretel: Witch Hunters,88.0,Fantasy|Horror|Action,Paramount Pictures|Studio Babelsberg|MTV Films|Gary Sanchez Productions|Metro-Goldwyn-Mayer (MGM),1/17/13,2013,46801667,210423550,5,9360333,"['Paramount Pictures', 'Studio Babelsberg', 'MTV Films', 'Gary Sanchez Productions', 'Metro-Goldwyn-Mayer (MGM)']",42084710,163621883
5462,47 Ronin,118.0,Action|Adventure|Fantasy,Mid Atlantic Films|Stuber Productions|Universal|Moving Picture Company (MPC)|H2F Entertainment,12/6/13,2013,163805836,141305911,5,32761167,"['Mid Atlantic Films', 'Stuber Productions', 'Universal', 'Moving Picture Company (MPC)', 'H2F Entertainment']",28261182,-22499925
5464,The Mortal Instruments: City of Bones,130.0,Action|Adventure|Drama|Mystery|Romance,Constantin Film Produktion|Don Carmody Productions|Unique Features|Mr. Smith Productions,8/21/13,2013,56162001,84772254,4,14040500,"['Constantin Film Produktion', 'Don Carmody Productions', 'Unique Features', 'Mr. Smith Productions']",21193063,28610253
5465,Epic,102.0,Animation|Adventure|Family|Fantasy,Blue Sky Studios|Twentieth Century Fox Animation,5/15/13,2013,93603335,251256282,2,46801667,"['Blue Sky Studios', 'Twentieth Century Fox Animation']",125628141,157652947
5466,Lone Survivor,121.0,Action|Drama|Thriller|War,Universal Pictures|Weed Road Pictures|Herrick Entertainment|Leverage Management|Closest to the Hole Productions,12/24/13,2013,37441334,139745661,5,7488266,"['Universal Pictures', 'Weed Road Pictures', 'Herrick Entertainment', 'Leverage Management', 'Closest to the Hole Productions']",27949132,102304327
5468,Dallas Buyers Club,117.0,Drama|History,Universal Studios|Universal Pictures|Voltage Pictures|Truth Entertainment,9/7/13,2013,4680166,51667435,4,1170041,"['Universal Studios', 'Universal Pictures', 'Voltage Pictures', 'Truth Entertainment']",12916858,46987269
5469,R.I.P.D.,96.0,Fantasy|Action|Comedy|Crime,Universal Pictures|Original Film|Dark Horse Entertainment,7/18/13,2013,121684335,57705052,3,40561445,"['Universal Pictures', 'Original Film', 'Dark Horse Entertainment']",19235017,-63979283
5471,Planes,91.0,Animation|Family|Adventure|Comedy,Walt Disney Pictures|Walt Disney Animation Studios,8/9/13,2013,46801667,205729564,2,23400833,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",102864782,158927897
5472,Spring Breakers,94.0,Drama|Crime,RabbitBandini Productions|Division Films|Pop Films|Radar Pictures|Muse Productions,1/24/13,2013,4680166,29694987,5,936033,"['RabbitBandini Productions', 'Division Films', 'Pop Films', 'Radar Pictures', 'Muse Productions']",5938997,25014821
5474,The Call,94.0,Thriller,TriStar Pictures|WWE Studios|Troika Pictures|Emergency Films|Apotheosis Media Group,3/14/13,2013,12168433,64186032,5,2433686,"['TriStar Pictures', 'WWE Studios', 'Troika Pictures', 'Emergency Films', 'Apotheosis Media Group']",12837206,52017599
5475,Evil Dead,91.0,Horror,TriStar Pictures|Ghost House Pictures|FilmDistrict,4/5/13,2013,15912566,91303456,3,5304188,"['TriStar Pictures', 'Ghost House Pictures', 'FilmDistrict']",30434485,75390890
5476,Last Vegas,105.0,Comedy,Laurence Mark Productions|CBS Films|Outlaw Sinema|Good Universe|Gidden Media,10/31/13,2013,26208933,125805175,5,5241786,"['Laurence Mark Productions', 'CBS Films', 'Outlaw Sinema', 'Good Universe', 'Gidden Media']",25161035,99596242
